job_titles,companies,companies_links,location,publish_time,job_level
Senior AI Developer (C#),INVENTO,https://wuzzuf.net/jobs/careers/INVENTO-Saudi-Arabia-91024,"Cairo, Egypt",4 daysago,Experienced
AI Application Developer (No-Code/Low-Code),Sagueny Group,https://wuzzuf.net/jobs/careers/Sagueny-Group-Egypt-4867,"Alibrahimiyyah, Alexandria, Egypt",9 daysago,Student
AI Developer,Genesis A,https://wuzzuf.net/jobs/careers/-127134,"Cairo, Egypt",16 daysago,Experienced
Salesforce Developer / Architect-AI,Mr Buyer LLC,https://wuzzuf.net/jobs/careers/mr-buyer-llc-united-states-131550,"Cairo, Egypt",1 monthago,Experienced
AI / Machine Learning Developer,Roboeyetec,https://wuzzuf.net/jobs/careers/roboeyetec-egypt-131613,"Nasr City, Cairo, Egypt",1 monthago,Experienced
AI Content Creator (Video & Image Specialist),Sagueny Group,https://wuzzuf.net/jobs/careers/Sagueny-Group-Egypt-4867,"Alibrahimiyyah, Alexandria, Egypt",9 daysago,Student
AI Researcher / AI Engineer,Arabian Data,https://wuzzuf.net/jobs/careers/arabian-data-egypt-129507,"Nasr City, Cairo, Egypt",1 monthago,Student
Mobile Application Developer,Nile Tech for Technology Development,https://wuzzuf.net/jobs/careers/nike-tech-for-technology-development-egypt-132724,"Cairo, Egypt",5 daysago,Entry Level
Senior AI Engineer,Lumin,https://wuzzuf.net/jobs/careers/Excel-Systems-LLC-Egypt-13729,"Sheikh Zayed, Giza, Egypt",21 daysago,Experienced
Senior WordPress Developer,ProfileTree,https://wuzzuf.net/jobs/careers/Web-Wordly-Egypt-1951,"Cairo, Egypt",18 daysago,Experienced
Senior AI Engineer,WUZZUF,https://wuzzuf.net/jobs/careers/WUZZUF-Egypt-15061,"Maadi, Cairo, Egypt",23 daysago,Experienced
Junior Full Stack Developer (.NET and Angular),DEVOPSOLUTION,https://wuzzuf.net/jobs/careers/Devop-Solution-Egypt-38131,"Nasr City, Cairo, Egypt",1 monthago,Entry Level
Educational Content Development Internship ( Arabic & Religious ),Nahdet Misr Publishing Group,https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272,"Mohandessin, Giza, Egypt",1 monthago,Entry Level
Blockchain Specialist,34ML,https://wuzzuf.net/jobs/careers/34way-Egypt-15979,"Heliopolis, Cairo, Egypt",7 daysago,Entry Level
IoT and Applied AI Teacher,NASS Academy,https://wuzzuf.net/jobs/careers/NASS-Academy-Egypt-42369,"Cairo, Egypt",1 monthago,Entry Level
