job_titles,companies,companies_links,location,publish_time,job_level
Data Analyst,Confidential,,"Tora, Cairo, Egypt",3 daysago,Experienced
Data Analyst,Matana Group,https://wuzzuf.net/jobs/careers/-97979,"Cairo, Egypt",8 daysago,Experienced
Data Analyst Engineer,Basco Engineering &Trading,https://wuzzuf.net/jobs/careers/Basco-Engineering--amp-Trading-Egypt-24695,"Heliopolis, Cairo, Egypt",4 daysago,Experienced
Senior Data Analyst,Cairo Three A  Poultry,https://wuzzuf.net/jobs/careers/Cairo-Three-A--Poultry-Egypt-38144,"New Cairo, Cairo, Egypt",7 daysago,Experienced
Data Analyst,Wills business,https://wuzzuf.net/jobs/careers/Wills-business-Egypt-106882,"Nasr City, Cairo, Egypt",16 daysago,Experienced
Senior Data Analyst,Allianz,https://wuzzuf.net/jobs/careers/Allianz-Egypt-14076,"New Cairo, Cairo, Egypt",15 daysago,Experienced
Senior Data Analyst,Egypt Kuwait Holding,https://wuzzuf.net/jobs/careers/Egypt-Kuwait-Holding-Egypt-40064,"Agouza, Giza, Egypt",16 daysago,Experienced
Data Analyst,IDC,https://wuzzuf.net/jobs/careers/IDC-Egypt-63869,"Cairo, Egypt",23 daysago,Entry Level
Data Analyst,Arma-HSA,https://wuzzuf.net/jobs/careers/Arma-Egypt-73932,"Cairo, Egypt",25 daysago,Entry Level
Assistant Financial Analyst,W.Consultancy,https://wuzzuf.net/jobs/careers/Smart sevices-Egypt-119848,"Maadi, Cairo, Egypt",3 daysago,Experienced
Financial Analyst - Business Performance,MY WAY,https://wuzzuf.net/jobs/careers/MY-WAY-Egypt-8492,"Obour City, Cairo, Egypt",2 hoursago,Experienced
Business Process Analyst,Arma-HSA,https://wuzzuf.net/jobs/careers/Arma-Egypt-73932,"New Cairo, Cairo, Egypt",2 hoursago,Experienced
Sales Operations Analyst,Atlantic international collaboration,https://wuzzuf.net/jobs/careers/Atlantic international collaboration-Egypt-116924,"6th of October, Giza, Egypt",1 dayago,Entry Level
Commercial Specialist (Data Analyst),OPPO Egypt,https://wuzzuf.net/jobs/careers/OPPO-Egypt-For-Trade-and-Distribution-Egypt-7132,"Nasr City, Cairo, Egypt",1 monthago,Entry Level
Operational Analyst,Confidential,,"Giza, Egypt",3 daysago,Experienced
