job_titles,companies,companies_links,location,publish_time,job_level
Senior Odoo Developer,Ejad,https://wuzzuf.net/jobs/careers/Ejad-Egypt-98581,"Giza, Egypt",21 hoursago,Experienced
Senior Odoo Developer – Full Stack,TopLine,https://wuzzuf.net/jobs/careers/TopLine-Saudi-Arabia-7347,"Cairo, Egypt",3 daysago,Experienced
Senior Odoo Developer,Elsewedy industries,https://wuzzuf.net/jobs/careers/Elsewedy-industries-Egypt-49892,"New Cairo, Cairo, Egypt",3 daysago,Experienced
Senior Odoo Developer,Arma-HSA,https://wuzzuf.net/jobs/careers/Arma-Egypt-73932,"Cairo, Egypt",23 daysago,Experienced
Odoo Developer,ECC Group,https://wuzzuf.net/jobs/careers/Egyptian-Cultural-Center-Egypt-17801,"Nasr City, Cairo, Egypt",24 daysago,Experienced
Odoo Website Developer,AlZamel for consultation,https://wuzzuf.net/jobs/careers/-95295,"Maadi, Cairo, Egypt",29 daysago,Experienced
Odoo Functional Consultant,Ejad,https://wuzzuf.net/jobs/careers/Ejad-Egypt-98581,"Giza, Egypt",9 daysago,Experienced
Senior Odoo Developer,OdooTec,https://wuzzuf.net/jobs/careers/OdooTec-Egypt-57875,"New Cairo, Cairo, Egypt",29 daysago,Experienced
Junior Accountant - Odoo User,Dimofinf Operations Center,https://wuzzuf.net/jobs/careers/Dimofinf-Operations-Center-Egypt-56,"Nasr City, Cairo, Egypt",10 daysago,Entry Level
Odoo Developer,National Technology,https://wuzzuf.net/jobs/careers/National-Technology-Egypt-5626,"Nasr City, Cairo, Egypt",1 monthago,Entry Level
Senior Odoo Developer,Union Group,https://wuzzuf.net/jobs/careers/Union-Group-Egypt-5436,"Obour City, Cairo, Egypt",1 monthago,Experienced
Senior Odoo Developer,Formation OBS,https://wuzzuf.net/jobs/careers/formation-obs-egypt-131300,"New Cairo, Cairo, Egypt",1 monthago,Experienced
Odoo Developer,El tawheed co for commercial agencies,https://wuzzuf.net/jobs/careers/el-tawheed-co-for-commercial-agencies-egypt-131204,"Downtown, Cairo, Egypt",1 monthago,Experienced
Odoo Implementer,Confidential,,"Cairo, Egypt",4 daysago,Experienced
Odoo Presales Engineer,Ecotech,https://wuzzuf.net/jobs/careers/ecotech-egypt-132597,"Maadi, Cairo, Egypt",9 daysago,Experienced
