job_titles,companies,companies_links,location,publish_time,job_level
AI Video & Graphic Designer (Full-time),Confidential,,"Riyadh, Saudi Arabia",4 daysago,Experienced
AI Video & Graphic Designer,شركة نخبة العالم لتقنية المعلومات,https://wuzzuf.net/jobs/careers/shrk-nkhb-alaaalm-ltkny-almaalomat-saudi-arabia-132771,"Riyadh, Saudi Arabia",6 daysago,Experienced
Tadarab Internship Program | AI&Data,Deloitte,https://wuzzuf.net/jobs/careers/Deloitte-Qatar-99837,"Riyadh, Saudi Arabia",3 daysago,Not specified
AI Solution Architect,NetApp,https://wuzzuf.net/jobs/careers/NetApp-United Arab Emirates-104229,"Riyadh, Saudi Arabia",22 daysago,Experienced
Senior Software Engineer (AI Model serving),Speechify,https://wuzzuf.net/jobs/careers/speechify-saudi-arabia-131984,"Riyadh, Saudi Arabia",23 daysago,Experienced
Data Science Consultant – Gen AI Specialist,EPAM Systems,https://wuzzuf.net/jobs/careers/epam-systems-united-arab-emirates-130291,"Riyadh, Saudi Arabia",21 hoursago,Entry Level
AI Mentor Talent Pool - Contractor Roles,Udacity,https://wuzzuf.net/jobs/careers/udacity-united-arab-emirates-130374,"Riyadh, Saudi Arabia",2 daysago,Experienced
GenO Tech AI Services Black Belt,Oracle,https://wuzzuf.net/jobs/careers/Oracle-Egypt-36062,"Riyadh, Saudi Arabia",21 hoursago,Entry Level
"Senior Solutions Architect, Cloud Infrastructure and DevOps - NVIS",NVIDIA,https://wuzzuf.net/jobs/careers/nvidia-united-arab-emirates-128344,"Riyadh, Saudi Arabia",12 daysago,Experienced
Business Development Representative II,Infoblox,https://wuzzuf.net/jobs/careers/infoblox-saudi-arabia-130595,"Riyadh, Saudi Arabia",16 hoursago,Entry Level
Business Development Manager (Riyadh),Ideals,https://wuzzuf.net/jobs/careers/ideals-united-arab-emirates-129983,"Riyadh, Saudi Arabia",N/A,Experienced
"Senior Managing Consultant, Cybersecurity Business Development",Mastercard,https://wuzzuf.net/jobs/careers/mastercard-united-arab-emirates-128378,"Riyadh, Saudi Arabia",15 hoursago,Not specified
Technical Advisor – Synthetic Data for Compliance Testing (m/f/d),Halian,https://wuzzuf.net/jobs/careers/Halian-Saudi Arabia-99873,"Riyadh, Saudi Arabia",9 hoursago,Experienced
Future Opportunities – Join Our Talent Network in Jeddah,Publicis Groupe Middle East,https://wuzzuf.net/jobs/careers/publicis-groupe-middle-east-saudi-arabia-133037,"Makkah, Saudi Arabia",21 hoursago,Not specified
Future Opportunities – Join Our Talent Network in Riyadh,Publicis Groupe Middle East,https://wuzzuf.net/jobs/careers/publicis-groupe-middle-east-saudi-arabia-133037,"Riyadh, Saudi Arabia",21 hoursago,Not specified
