job_titles,companies,companies_links,location,publish_time,job_level
Data Analyst,Dr Sulaiman AlHabib Medical Centers,https://wuzzuf.net/jobs/careers/Dr Sulaiman AlHabib Medical Centers-Saudi Arabia-126605,"Riyadh, Saudi Arabia",17 hoursago,Entry Level
Senior Data Analyst / Reporting Specialist,Emdad Al Khebrat,https://wuzzuf.net/jobs/careers/Emdad Al Khebrat-Saudi Arabia-126931,"Riyadh, Saudi Arabia",6 daysago,Experienced
Senior Data Analyst - CX,Tamara,https://wuzzuf.net/jobs/careers/tamara-saudi-arabia-130145,"Riyadh, Saudi Arabia",3 hoursago,Experienced
Analyst II Data Engineering,DXC Technology,https://wuzzuf.net/jobs/careers/DXC Technology-Saudi Arabia-100298,"Riyadh, Saudi Arabia",6 daysago,Entry Level
Data Analyst,HDR,https://wuzzuf.net/jobs/careers/HDR-Saudi Arabia-100560,"Riyadh, Saudi Arabia",20 daysago,Experienced
Data Analyst (0 Experience Required),Peroptyx,https://wuzzuf.net/jobs/careers/Peroptyx-Saudi Arabia-99933,"Riyadh, Saudi Arabia",24 daysago,Entry Level
Analyst - Credit and Collections,Wesco,https://wuzzuf.net/jobs/careers/Wesco-Egypt-108371,"Makkah, Saudi Arabia",19 hoursago,Entry Level
Analyst-Quality,Marriott International,https://wuzzuf.net/jobs/careers/marriott-international-united-arab-emirates-128347,"Riyadh, Saudi Arabia",2 daysago,Entry Level
"Senior Analyst - BCG Vantage, CFO Excellence",Boston Consulting Group (BCG),https://wuzzuf.net/jobs/careers/Boston Consulting Group (BCG)-Saudi Arabia-99976,"Riyadh, Saudi Arabia",1 dayago,Experienced
Citrix Pricing Analyst,Arrow Components,https://wuzzuf.net/jobs/careers/arrow-components-saudi-arabia-131115,"Riyadh, Saudi Arabia",20 daysago,Experienced
Senior Analyst - Net Zero & Energy Transition - BCG Vantage,Boston Consulting Group (BCG),https://wuzzuf.net/jobs/careers/Boston Consulting Group (BCG)-Saudi Arabia-99976,"Riyadh, Saudi Arabia",19 daysago,Experienced
Business Analyst -Wholesale Banking Project,Expleo Group,https://wuzzuf.net/jobs/careers/Expleo Group-Egypt-99772,"Riyadh, Saudi Arabia",3 hoursago,Experienced
Business Operation Analyst,Arrow Components,https://wuzzuf.net/jobs/careers/arrow-components-saudi-arabia-131115,"Riyadh, Saudi Arabia",5 daysago,Entry Level
Business Analyst -Retail Banking Project,Expleo Group,https://wuzzuf.net/jobs/careers/Expleo Group-Egypt-99772,"Riyadh, Saudi Arabia",23 hoursago,Experienced
Supply Systems Analyst,Olgoonik Corporation,https://wuzzuf.net/jobs/careers/Olgoonik Corporation-Qatar-108549,"Riyadh, Saudi Arabia",7 daysago,Experienced
